team_key,logo_url
afc bournemouth,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/afc_bournemouth.png
arsenal fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/arsenal_fc.png
aston villa fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/aston_villa_fc.png
brentford fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/brentford_fc.png
brighton & hove albion,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/brighton_&_hove_albion.png
chelsea fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/chelsea_fc.png
crystal palace fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/crystal_palace_fc.png
epl,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/epl.png
everton fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/everton_fc.png
fulham fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/fulham_fc.png
ipswich town fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/ipswich_town_fc.png
leicester city fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/leicester_city_fc.png
liverpool fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/liverpool_fc.png
manchester city fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/manchester_city_fc.png
manchester united fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/manchester_united_fc.png
newcastle united,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/newcastle_united.png
nottingham forest fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/nottingham_forest_fc.png
southampton fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/southampton_fc.png
tottenham hotspur,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/tottenham_hotspur.png
west ham united fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/west_ham_united_fc.png
wolverhampton wanderers,http://bet-bot-manager.my.pebble.host:25594/static/logos/epl/wolverhampton_wanderers.png
