team_key,logo_url
athletic bilbao,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/athletic_bilbao.png
atletico madrid,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/atletico_madrid.png
barcelona fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/barcelona_fc.png
celta de vigo,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/celta_de_vigo.png
deportivo de la coruna,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/deportivo_de_la_coruna.png
getafe,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/getafe.png
laliga,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/laliga.png
levante,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/levante.png
malaga,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/malaga.png
mallorca,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/mallorca.png
osasuna,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/osasuna.png
racing de santander,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/racing_de_santander.png
rayo vallecano,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/rayo_vallecano.png
real madrid,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/real_madrid.png
real sociedad,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/real_sociedad.png
real valladolid,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/real_valladolid.png
real zaragoza,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/real_zaragoza.png
sevilla fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/sevilla_fc.png
sporting de gijon,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/sporting_de_gijon.png
valencia,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/valencia.png
villarreal cf,http://bet-bot-manager.my.pebble.host:25594/static/logos/laliga/villarreal_cf.png
