team_key,logo_url
atlanta hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/atlanta_hawks.png
boston celtics,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/boston_celtics.png
brooklyn nets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/brooklyn_nets.png
charlotte hornets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/charlotte_hornets.png
chicago bulls,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/chicago_bulls.png
cleveland cavaliers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/cleveland_cavaliers.png
dallas mavericks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/dallas_mavericks.png
denver nuggets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/denver_nuggets.png
detroit pistons,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/detroit_pistons.png
golden state warriors,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/golden_state_warriors.png
houston rockets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/houston_rockets.png
indiana pacers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/indiana_pacers.png
los angeles clippers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/los_angeles_clippers.png
los angeles lakers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/los_angeles_lakers.png
memphis grizzlies,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/memphis_grizzlies.png
miami heat,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/miami_heat.png
milwaukee bucks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/milwaukee_bucks.png
minnesota timberwolves,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/minnesota_timberwolves.png
nba,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/nba.png
new orleans pelicans,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/new_orleans_pelicans.png
new york knicks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/new_york_knicks.png
oklahoma city thunder,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/oklahoma_city_thunder.png
orlando magic,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/orlando_magic.png
philadelphia 76ers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/philadelphia_76ers.png
phoenix suns,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/phoenix_suns.png
portland trail blazers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/portland_trail_blazers.png
sacramento kings,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/sacramento_kings.png
san antonio spurs,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/san_antonio_spurs.png
toronto raptors,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/toronto_raptors.png
utah jazz,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/utah_jazz.png
washington wizards,http://bet-bot-manager.my.pebble.host:25594/static/logos/nba/washington_wizards.png
