team_key,logo_url
as roma,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/as_roma.png
as roma club,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/as_roma_club.png
cagliari calcio,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/cagliari_calcio.png
hellas verona fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/hellas_verona_fc.png
seriea,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/seriea.png
spezia calcio,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/spezia_calcio.png
udinese calcio,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/udinese_calcio.png
us cremonese,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/us_cremonese.png
us sassuolo calcio,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/us_sassuolo_calcio.png
venezia fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/seriea/venezia_fc.png
