team_key,logo_url
anaheim angels,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/anaheim_angels.png
arizona diamondbacks,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/arizona_diamondbacks.png
atlanta braves,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/atlanta_braves.png
baltimore orioles,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/baltimore_orioles.png
boston red sox,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/boston_red_sox.png
chicago cubs,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/chicago_cubs.png
chicago white sox,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/chicago_white_sox.png
cincinnati reds,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/cincinnati_reds.png
cleveland guardians,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/cleveland_guardians.png
colorado rockies,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/colorado_rockies.png
detroit tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/detroit_tigers.png
houston astros,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/houston_astros.png
kansas city royals,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/kansas_city_royals.png
los angeles angels,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/los_angeles_angels.png
los angeles dodgers,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/los_angeles_dodgers.png
miami marlins,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/miami_marlins.png
milwaukee brewers,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/milwaukee_brewers.png
minnesota twins,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/minnesota_twins.png
mlb,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/mlb.png
new york mets,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/new_york_mets.png
new york yankees,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/new_york_yankees.png
oakland athletics,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/oakland_athletics.png
philadelphia phillies,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/philadelphia_phillies.png
pittsburgh pirates,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/pittsburgh_pirates.png
san diego padres,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/san_diego_padres.png
san francisco giants,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/san_francisco_giants.png
seattle mariners,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/seattle_mariners.png
st. louis cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/st._louis_cardinals.png
tampa bay rays,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/tampa_bay_rays.png
texas rangers,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/texas_rangers.png
toronto blue jays,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/toronto_blue_jays.png
washington nationals,http://bet-bot-manager.my.pebble.host:25594/static/logos/mlb/washington_nationals.png
