team_key,logo_url
anaheim ducks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/anaheim_ducks.png
arizona coyotes,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/arizona_coyotes.png
boston bruins,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/boston_bruins.png
buffalo sabres,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/buffalo_sabres.png
calgary flames,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/calgary_flames.png
carolina hurricanes,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/carolina_hurricanes.png
chicago blackhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/chicago_blackhawks.png
colorado avalanche,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/colorado_avalanche.png
columbus blue jackets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/columbus_blue_jackets.png
dallas stars,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/dallas_stars.png
detroit red wings,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/detroit_red_wings.png
edmonton oilers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/edmonton_oilers.png
florida panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/florida_panthers.png
los angeles kings,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/los_angeles_kings.png
minnesota wild,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/minnesota_wild.png
montreal canadiens,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/montreal_canadiens.png
nashville predators,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/nashville_predators.png
new jersey devils,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/new_jersey_devils.png
new york islanders,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/new_york_islanders.png
new york rangers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/new_york_rangers.png
nhl,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/nhl.png
ottawa senators,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/ottawa_senators.png
philadelphia flyers,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/philadelphia_flyers.png
pittsburgh penguins,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/pittsburgh_penguins.png
san jose sharks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/san_jose_sharks.png
seattle kraken,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/seattle_kraken.png
st. louis blues,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/st._louis_blues.png
tampa bay lightning,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/tampa_bay_lightning.png
toronto maple leafs,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/toronto_maple_leafs.png
utah hockey club,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/utah_hockey_club.png
vancouver canucks,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/vancouver_canucks.png
vegas golden knights,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/vegas_golden_knights.png
washington capitals,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/washington_capitals.png
winnipeg jets,http://bet-bot-manager.my.pebble.host:25594/static/logos/nhl/winnipeg_jets.png
